language,word_count,subword_count,subword_word_ratio
English,42,56,1.3333333333333333
English,12,16,1.3333333333333333
English,10,12,1.2
English,15,18,1.2
English,27,39,1.4444444444444444
English,24,36,1.5
English,26,38,1.4615384615384615
English,19,29,1.5263157894736843
English,26,38,1.4615384615384615
English,17,26,1.5294117647058822
English,35,48,1.3714285714285714
English,29,42,1.4482758620689655
English,31,44,1.4193548387096775
English,29,37,1.2758620689655173
English,29,37,1.2758620689655173
English,29,41,1.4137931034482758
English,20,37,1.85
English,18,35,1.9444444444444444
English,18,35,1.9444444444444444
English,33,40,1.2121212121212122
English,34,43,1.2647058823529411
English,34,43,1.2647058823529411
English,26,34,1.3076923076923077
English,26,34,1.3076923076923077
English,26,34,1.3076923076923077
English,18,23,1.2777777777777777
English,19,24,1.263157894736842
English,21,24,1.1428571428571428
English,23,31,1.3478260869565217
English,20,27,1.35
English,20,27,1.35
English,21,30,1.4285714285714286
English,21,30,1.4285714285714286
English,25,33,1.32
English,20,28,1.4
English,19,25,1.3157894736842106
English,23,29,1.2608695652173914
English,18,30,1.6666666666666667
English,14,26,1.8571428571428572
English,18,30,1.6666666666666667
English,30,36,1.2
English,28,35,1.25
English,29,36,1.2413793103448276
English,41,58,1.4146341463414633
English,40,58,1.45
English,43,60,1.3953488372093024
English,32,42,1.3125
English,29,38,1.3103448275862069
English,34,41,1.2058823529411764
English,35,50,1.4285714285714286
English,32,41,1.28125
English,30,38,1.2666666666666666
English,34,54,1.588235294117647
English,32,53,1.65625
English,31,52,1.6774193548387097
English,21,26,1.2380952380952381
English,25,31,1.24
English,24,30,1.25
English,11,16,1.4545454545454546
English,15,20,1.3333333333333333
English,15,23,1.5333333333333334
English,19,33,1.736842105263158
English,19,32,1.6842105263157894
English,20,34,1.7
English,30,49,1.6333333333333333
English,31,49,1.5806451612903225
English,30,49,1.6333333333333333
English,24,37,1.5416666666666667
English,20,31,1.55
English,20,31,1.55
English,24,30,1.25
English,26,33,1.2692307692307692
English,24,31,1.2916666666666667
English,18,22,1.2222222222222223
English,21,26,1.2380952380952381
English,20,24,1.2
English,26,36,1.3846153846153846
English,28,37,1.3214285714285714
English,28,38,1.3571428571428572
English,20,29,1.45
English,26,37,1.4230769230769231
English,24,33,1.375
English,39,68,1.7435897435897436
English,39,71,1.8205128205128205
English,38,69,1.8157894736842106
English,16,18,1.125
English,21,25,1.1904761904761905
English,17,19,1.1176470588235294
English,23,33,1.434782608695652
English,21,34,1.619047619047619
English,22,34,1.5454545454545454
English,30,35,1.1666666666666667
English,33,38,1.1515151515151516
English,28,33,1.1785714285714286
English,33,55,1.6666666666666667
English,34,57,1.6764705882352942
English,32,53,1.65625
English,37,56,1.5135135135135136
English,37,56,1.5135135135135136
English,40,62,1.55
English,26,32,1.2307692307692308
English,24,29,1.2083333333333333
English,25,31,1.24
English,29,36,1.2413793103448276
English,31,39,1.2580645161290323
English,30,38,1.2666666666666666
English,31,38,1.2258064516129032
English,23,28,1.2173913043478262
English,29,34,1.1724137931034482
English,30,38,1.2666666666666666
English,25,31,1.24
English,23,29,1.2608695652173914
English,19,28,1.4736842105263157
English,20,31,1.55
English,20,29,1.45
English,37,51,1.3783783783783783
English,40,53,1.325
English,35,49,1.4
English,18,23,1.2777777777777777
English,29,37,1.2758620689655173
English,25,30,1.2
English,28,36,1.2857142857142858
English,16,23,1.4375
English,20,27,1.35
English,39,51,1.3076923076923077
English,35,47,1.3428571428571427
English,33,45,1.3636363636363635
English,35,45,1.2857142857142858
English,30,40,1.3333333333333333
English,32,41,1.28125
English,40,56,1.4
English,37,53,1.4324324324324325
English,39,54,1.3846153846153846
English,33,49,1.4848484848484849
English,34,50,1.4705882352941178
English,34,50,1.4705882352941178
English,32,42,1.3125
English,27,36,1.3333333333333333
English,31,39,1.2580645161290323
English,14,21,1.5
English,11,17,1.5454545454545454
English,13,19,1.4615384615384615
English,21,31,1.4761904761904763
English,23,30,1.3043478260869565
English,20,29,1.45
English,19,25,1.3157894736842106
English,24,33,1.375
English,24,32,1.3333333333333333
English,39,56,1.435897435897436
English,47,66,1.4042553191489362
English,45,65,1.4444444444444444
English,37,55,1.4864864864864864
English,41,59,1.4390243902439024
English,37,55,1.4864864864864864
English,31,51,1.6451612903225807
English,36,58,1.6111111111111112
English,33,53,1.606060606060606
English,35,47,1.3428571428571427
English,41,53,1.2926829268292683
English,35,46,1.3142857142857143
English,38,58,1.5263157894736843
English,32,45,1.40625
English,32,46,1.4375
English,33,45,1.3636363636363635
English,37,42,1.135135135135135
English,33,38,1.1515151515151516
English,34,48,1.411764705882353
English,34,49,1.4411764705882353
English,31,46,1.4838709677419355
English,30,43,1.4333333333333333
English,25,39,1.56
English,27,41,1.5185185185185186
English,25,31,1.24
English,25,31,1.24
English,25,32,1.28
English,28,43,1.5357142857142858
English,28,43,1.5357142857142858
English,29,49,1.6896551724137931
English,34,48,1.411764705882353
English,36,48,1.3333333333333333
English,33,46,1.393939393939394
English,16,22,1.375
English,17,22,1.2941176470588236
English,14,19,1.3571428571428572
English,25,41,1.64
English,22,40,1.8181818181818181
English,24,42,1.75
English,13,15,1.1538461538461537
English,9,11,1.2222222222222223
English,18,21,1.1666666666666667
English,14,16,1.1428571428571428
English,17,19,1.1176470588235294
English,14,17,1.2142857142857142
English,23,34,1.4782608695652173
English,19,24,1.263157894736842
English,13,18,1.3846153846153846
English,35,49,1.4
English,35,50,1.4285714285714286
English,33,48,1.4545454545454546
English,23,35,1.5217391304347827
English,29,43,1.4827586206896552
English,17,28,1.6470588235294117
English,44,60,1.3636363636363635
English,49,65,1.3265306122448979
English,51,69,1.3529411764705883
English,33,52,1.5757575757575757
English,37,55,1.4864864864864864
English,38,61,1.605263157894737
English,32,60,1.875
English,31,52,1.6774193548387097
English,31,56,1.8064516129032258
English,20,34,1.7
English,24,37,1.5416666666666667
English,25,37,1.48
English,15,20,1.3333333333333333
English,12,16,1.3333333333333333
English,12,15,1.25
English,39,53,1.358974358974359
English,39,53,1.358974358974359
English,28,42,1.5
English,22,39,1.7727272727272727
English,23,37,1.608695652173913
English,18,32,1.7777777777777777
English,30,46,1.5333333333333334
English,32,48,1.5
